abdomen,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">The part of the body of a vertebrate containing the digestive and reproductive organs; the belly.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">stomach</strong><span class=""syn"">, belly, gut, middle, midriff, intestines</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-regions domain_labels"">Zoology </span><span class=""ind"">The hinder part of the body of an arthropod, especially the segments of an insect's body behind the thorax.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
abide,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""form-groups""><strong>abide by</strong></span><u><span class=""grammatical_note"">no object</span></u> <span class=""ind"">Accept or act in accordance with (a rule, decision, or recommendation)</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘I said I would abide by their decision’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">comply with</strong><span class=""syn"">, obey, observe, follow, keep to, hold to, conform to, adhere to, stick to, stand by, act in accordance with, uphold, heed, pay attention to, agree to, agree with, consent to, accede to, accept, acquiesce in, go along with, acknowledge, respect, defer to</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""form-groups""><strong>can/could not abide</strong></span><span class=""sense-registers"">informal </span><u><span class=""grammatical_note"">with object</span></u> <span class=""ind"">Be unable to tolerate (someone or something)</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘if there is one thing I cannot abide it is a lack of discipline’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">tolerate</strong><span class=""syn"">, bear, stand, put up with, endure, suffer, accept, cope with, live with, brook, support, take, countenance, face, handle</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">3</span><u><span class=""grammatical_note"">no object</span></u> <span class=""ind"">(of a feeling or memory) continue without fading or being lost.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘at least one memory will abide’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">continue</strong><span class=""syn"">, remain, survive, last, persist, stay, hold on, live on</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">3.1</span><span class=""sense-registers"">archaic </span><span class=""ind"">Live; dwell.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘many unskilful Men do abide in our City of London’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">reside</strong><span class=""syn"">, live, have one's home, have one's residence, be settled, be housed, lodge, stay</span></div></div></div></li></ul></p></div></li></ul></section>"
abortive,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Failing to produce the intended result.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the rebel officers who led the abortive coup were shot’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">failed</strong><span class=""syn"">, unsuccessful, non-successful, vain, thwarted, futile, useless, worthless, ineffective, ineffectual, to no effect, inefficacious, fruitless, unproductive, unavailing, to no avail, sterile, nugatory</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""sense-regions domain_labels"">Medicine </span><br/><span class=""ind"">(of a virus infection) failing to produce symptoms.</span></p><span class=""indicators""></span><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""sense-registers"">dated </span><span class=""ind"">(of an organ or organism) rudimentary; arrested in development.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘abortive medusae’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">rudimentary</strong><span class=""syn"">, undeveloped, incomplete, embryonic, immature</span></div></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">3</span><span class=""sense-registers"">rare </span><span class=""ind"">Causing or resulting in abortion.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘abortive techniques’</em></div></div></div></li></ul></section>"
abstain,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>no object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Restrain oneself from doing or enjoying something.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘she intends to abstain from sex before marriage’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Refrain from drinking alcohol.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘most pregnant women abstain or drink very little’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">refrain</strong><span class=""syn"">, desist, hold back, forbear, keep</span></div><div><strong class=""syn"">be teetotal</strong><span class=""syn"">, be a teetotaller, take the pledge</span></div></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">Formally decline to vote either for or against a proposal or motion.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘forty-one voted with the Opposition, and some sixty more abstained’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">not vote</strong><span class=""syn"">, decline to vote, refuse to vote</span></div></div></div></div></li></ul></section>"
accelerator,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A person or thing that causes something to happen or develop more quickly.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the country has been the main accelerator of global growth for a decade’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">A venture or scheme that promotes and aids the rapid growth of selected new small businesses.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘an accelerator for start-up technology companies in Buenos Aires’</em></div></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">as modifier</span></u> <em>‘a record number of women-led start-ups are participating in the accelerator program’</em></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">A device, typically a foot pedal, which controls the speed of a vehicle's engine.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he pressed the accelerator to the floor and the taxi shot forward’</em></div></div><div class=""exg""><div class=""ex""><em>‘the bank will have its foot on the accelerator until the economy starts to recover’</em></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">3</span><span class=""sense-regions domain_labels"">Physics </span><br/><span class=""ind"">An apparatus for accelerating charged particles to high velocities; a particle accelerator.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘electron accelerators’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">3.1</span><span class=""sense-regions domain_labels"">Chemistry </span><span class=""ind"">A substance that speeds up a chemical process.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
acclaim,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Praise enthusiastically and publicly.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the conference was acclaimed as a considerable success’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">celebrated</strong><span class=""syn"">, admired, highly rated, lionized, revered, honoured, esteemed, exalted, lauded, vaunted, much touted, well thought of, well received, acknowledged</span></div><div><strong class=""syn"">praise</strong><span class=""syn"">, applaud, cheer, commend, express approval of, approve, express admiration for, welcome, pay tribute to, speak highly of, eulogize, compliment, congratulate, celebrate, sing the praises of, praise to the skies, rave about, go into raptures about, go into raptures over, heap praise on, wax lyrical about, say nice things about, make much of, pat on the back, take one's hat off to, salute, throw bouquets at, lionize, exalt, admire, hail, toast, flatter, adulate, vaunt, extol, glorify, honour, hymn, clap</span></div><div><strong class=""syn"">proclaim</strong><span class=""syn"">, announce, declare, pronounce, hail as</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Enthusiastic and public praise.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘she has won acclaim for her commitment to democracy’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">praise</strong><span class=""syn"">, applause, cheers, ovation, tribute, accolade, acclamation, salutes, plaudits</span></div></div></div></div></li></ul></section>"
accommodating,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Willing to fit in with someone's wishes or needs.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘we always found the our local branch most accommodating’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">obliging</strong><span class=""syn"">, cooperative, helpful, eager to help, eager to please, adaptable, amenable, pliable, compliant, complaisant, indulgent, considerate, unselfish, generous, civil, willing, polite, kindly, hospitable, neighbourly, kind, friendly, pleasant, agreeable</span></div></div></div></div></li></ul></section>"
accompanist,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A person who provides a musical accompaniment to another musician or to a singer.</span></p><span class=""indicators""></span></div></li></ul></section>"
accountability,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">The fact or condition of being accountable; responsibility.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘lack of accountability has corroded public respect for business and political leaders’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">responsibility</strong><span class=""syn"">, liability, answerability</span></div><div><strong class=""syn"">answerability</strong><span class=""syn"">, responsibility, reporting, obedience</span></div></div></div></div></li></ul></section>"
accountable,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Required or expected to justify actions or decisions; responsible.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘ministers are accountable to Parliament’</em></div></div><div class=""exg""><div class=""ex""><em>‘parents cannot be held accountable for their children's actions’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">responsible</strong><span class=""syn"">, liable, answerable, chargeable</span></div><div><strong class=""syn"">answerable</strong><span class=""syn"">, responsible, reporting, subject</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">Able to be explained or understood.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the delayed introduction of characters' names is accountable, if we consider that names have a low priority’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">explicable</strong><span class=""syn"">, explainable</span></div></div></div></div></li></ul></section>"
additive,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A substance added to something in small quantities to improve or preserve it.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘many foods contain chemical additives’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">added ingredient</strong><span class=""syn"">, addition, extra, add-on, supplement, accompaniment</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Characterized by, relating to, or produced by addition.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the combination of these factors has an additive effect’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-registers"">technical </span><span class=""ind"">Relating to the reproduction of colours by the superimposition of primary colours.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the video monitor uses the additive colours red, green, and blue’</em></div></div></li></ul></p></div></li></ul></section>"
