impromptu,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Done without being planned, organized, or rehearsed.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘an impromptu press conference’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">unrehearsed</strong><span class=""syn"">, unprepared, unscripted, extempore, extemporized, improvised, improvisational, improvisatory, improvisatorial, spontaneous, unstudied, unpremeditated, unarranged, unplanned, on the spot, snap, ad lib</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adverb</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Without being planned, organized, or rehearsed.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he spoke impromptu’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">extempore</strong><span class=""syn"">, spontaneously, without preparation, without rehearsal, on the spur of the moment, offhand, ad lib</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>impromptus</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A short piece of instrumental music, especially a solo, that is reminiscent of an improvisation.</span></p><span class=""indicators""></span></div></li></ul></section>"
impunity,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Exemption from punishment or freedom from the injurious consequences of an action.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the impunity enjoyed by military officers implicated in civilian killings’</em></div></div><div class=""exg""><div class=""ex""><em>‘protestors burned flags on the streets with impunity’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">immunity</strong><span class=""syn"">, indemnity, exemption from punishment, freedom from punishment, exemption, non-liability, licence</span></div><div><strong class=""syn"">unpunished</strong><span class=""syn"">, with no ill consequences, with no ill effects, without being punished, without punishment</span></div></div></div></div></li></ul></section>"
incarnation,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A person who embodies in the flesh a deity, spirit, or quality.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘Rama was Vishnu's incarnation on earth’</em></div></div><div class=""exg""><div class=""ex""><em>‘Beethoven was an incarnation of artistic genius’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">embodiment</strong><span class=""syn"">, personification, exemplification, type, epitome</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""form-groups""><strong>the Incarnation</strong></span><span class=""ind"">(in Christian theology) the embodiment of God the Son in human flesh as Jesus Christ.</span><div class=""trg""></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">(with reference to reincarnation) each of a series of earthly lifetimes.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘in my next incarnation, I'd like to be the Minister of Fun’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">lifetime</strong><span class=""syn"">, life, existence</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""ind"">The form taken by a person or thing during an incarnation.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘in a previous journalistic incarnation, I worked at Westminster’</em></div></div><div class=""exg""><div class=""ex""><em>‘the pub has gone through several incarnations’</em></div></div></li></ul></p></div></li></ul></section>"
incendiary,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">(of a device or attack) designed to cause fires.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘incendiary bombs’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">combustible</strong><span class=""syn"">, flammable, inflammable, fire-producing, fire-raising</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">Tending to stir up conflict.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘incendiary rhetoric’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">inflammatory</strong><span class=""syn"">, rabble-rousing, provocative, agitational, seditious, subversive, revolutionary, insurrectionary, insurrectionist</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""ind"">Very exciting.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘an incendiary live performer’</em></div></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>incendiaries</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">An incendiary bomb or device.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the Holy City was blasted by incendiaries’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">explosive</strong><span class=""syn"">, bomb, incendiary device</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">A person who starts fires.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he was an English incendiary, responsible for the burning of three French battleships’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">arsonist</strong><span class=""syn"">, fire-bomber, firesetter</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""ind"">A person who stirs up conflict.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘every bard was regarded as an incendiary’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">agitator</strong><span class=""syn"">, demagogue, rabble-rouser, firebrand, troublemaker, revolutionary, revolutionist, insurgent, subversive, instigator, inciter, soapbox orator</span></div></div></div></li></ul></p></div></li></ul></section>"
incest,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Sexual relations between people classed as being too closely related to marry each other.</span></p><span class=""indicators""></span><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">The crime of having sexual intercourse with a parent, child, sibling, or grandchild.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
incite,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Encourage or stir up (violent or unlawful behaviour)</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘they conspired to incite riots’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">stir up</strong><span class=""syn"">, whip up, work up, encourage, fan the flames of, stoke up, fuel, kindle, ignite, inflame, stimulate, instigate, provoke, excite, arouse, awaken, waken, inspire, trigger, spark off, ferment, foment, agitate against, agitate for</span></div><div><strong class=""syn"">egg on</strong><span class=""syn"">, encourage, urge, goad, provoke, spur on, drive on, stimulate, push, prod, prompt, induce, impel, motivate, make, influence</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Urge or persuade (someone) to act in a violent or unlawful way.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘he incited loyal subjects to rebellion’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">persuade</strong><span class=""syn"">, convince, prevail upon, get, make, prompt, move, inspire, instigate, influence, exert influence on, press, urge, incite, encourage, impel, actuate, motivate</span></div></div></div></li></ul></p></div></li></ul></section>"
incompetence,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Inability to do something successfully; ineptitude.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘allegations of professional incompetence’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">ineptitude</strong><span class=""syn"">, ineptness, inability, lack of ability, incapability, incapacity, lack of skill, lack of proficiency, amateurishness, inexpertness, clumsiness, ineffectiveness, inadequacy, deficiency, inefficiency, ineffectuality, ineffectualness, insufficiency</span></div></div></div></div></li></ul></section>"
incriminate,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Make (someone) appear guilty of a crime or wrongdoing.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he refused to answer questions in order not to incriminate himself’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">implicate</strong><span class=""syn"">, involve</span></div></div></div></div></li></ul></section>"
indelible,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">(of ink or a pen) making marks that cannot be removed.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘an indelible marker pen’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">ineradicable</strong><span class=""syn"">, inerasable, ineffaceable, unexpungeable, indestructible, permanent, lasting, persisting, enduring, stubborn, ingrained, unfading, imperishable</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Not able to be forgotten.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the story made an indelible impression on me’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">ineradicable</strong><span class=""syn"">, inerasable, ineffaceable, unexpungeable, indestructible, permanent, lasting, persisting, enduring, stubborn, ingrained, unfading, imperishable</span></div></div></div></li></ul></p></div></li></ul></section>"
inept,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Having or showing no skill; clumsy.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the referee's inept handling of the match’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">incompetent</strong><span class=""syn"">, unskilful, unskilled, inexpert, amateurish, crude, rough</span></div></div></div></div></li></ul></section>"
