abnormality,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>abnormalities</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">An abnormal feature, characteristic, or occurrence.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘babies with congenital abnormalities’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">malformation</strong><span class=""syn"">, deformity, irregularity, flaw</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><u><span class=""grammatical_note"">mass noun</span></u> <span class=""ind"">The quality or state of being abnormal.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘miscarriage can be caused by fetal abnormality’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">unusualness</strong><span class=""syn"">, uncommonness, strangeness, waywardness, oddness, unexpectedness, irregularity, singularity, atypicality, anomalousness, deviation, divergence, aberrance, aberration, freakishness, peculiarity, curiousness, eccentricity, idiosyncrasy, quirkiness, unorthodoxy</span></div></div></div></li></ul></p></div></li></ul></section>"
aboriginal,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Inhabiting or existing in a land from the earliest times or from before the arrival of colonists; indigenous.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">indigenous</strong><span class=""syn"">, native</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Relating to the Australian Aborigines or their languages.</span><div class=""trg""></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">An aboriginal inhabitant of a place.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">native</strong><span class=""syn"">, indigene, aborigine, local, original inhabitant</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">A person belonging to one of the indigenous peoples of Australia.</span><div class=""trg""></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><div class=""variant"">(also <strong>Aboriginal</strong>)</div><u><span class=""grammatical_note"">mass noun</span></u> <span class=""ind"">Any of the numerous Australian Aboriginal languages.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘Bondi is Aboriginal for ‘noise of tumbling waters’ and on a day when the surf is rolling in you can see why.’</em></div></div></div></li></ul></section>"
abound,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>no object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Exist in large numbers or amounts.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘rumours of a further scandal abound’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">be plentiful</strong><span class=""syn"">, be abundant, be numerous, proliferate, superabound, thrive, flourish, be thick on the ground</span></div><div><strong class=""syn"">abundant</strong><span class=""syn"">, plentiful, superabundant, considerable, copious, ample, lavish, luxuriant, profuse, boundless, munificent, bountiful, prolific, inexhaustible, generous</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""form-groups""><strong>abound in/with</strong></span><span class=""ind"">Have in large numbers or amounts.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘this area abounds with caravan sites’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">be full of</strong><span class=""syn"">, overflow with, teem with, be packed with, be crowded with, be thronged with, be jammed with</span></div></div></div></li></ul></p></div></li></ul></section>"
absorbing,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Intensely interesting; engrossing.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘an absorbing account of their marriage’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">fascinating</strong><span class=""syn"">, interesting, captivating, gripping, engrossing, compelling, compulsive, enthralling, riveting, spellbinding, entrancing, preoccupying, overwhelming, intriguing, thrilling, exciting</span></div></div></div></div></li></ul></section>"
absorption,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">The process by which one thing absorbs or is absorbed by another.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the country's absorption into the Ottoman Empire’</em></div></div><div class=""exg""><div class=""ex""><em>‘shock absorption’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">incorporation</strong><span class=""syn"">, assimilation, integration, appropriation, taking in, subsuming, inclusion, co-opting, swallowing up</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">The state of being engrossed in something.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘her absorption in the problems of the Third World’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">immersion</strong><span class=""syn"">, intentness, raptness, involvement, engrossment, occupation, engagement, preoccupation, captivation, monopolization</span></div></div></div></div></li></ul></section>"
accelerate,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>no object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">(especially of a vehicle) begin to move more quickly.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the car accelerated towards her’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Increase in rate, amount, or extent.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘inflation started to accelerate’</em></div></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">with object</span></u> <em>‘the key question is whether stress accelerates ageing’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">speed up</strong><span class=""syn"">, hurry up, get faster, move faster, go faster, drive faster, get a move on, put on a spurt, open it up, gain momentum, increase speed, pick up speed, gather speed</span></div><div><strong class=""syn"">increase</strong><span class=""syn"">, rise, go up, advance, leap, surge, speed up, escalate, spiral, get worse</span></div><div><strong class=""syn"">hasten</strong><span class=""syn"">, expedite, precipitate, speed, speed up, hurry up, make faster, step up, advance, further, forward, promote, boost, give a boost to, stimulate, spur on</span></div></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""sense-regions domain_labels"">Physics </span><span class=""ind"">Undergo a change in velocity.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">as adjective <strong>accelerating</strong></span></u> <em>‘an accelerating electron radiates off some of its energy’</em></div></div></li></ul></p></div></li></ul></section>"
accumulation,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">The acquisition or gradual gathering of something.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the accumulation of wealth’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><u><span class=""grammatical_note"">count noun</span></u> <span class=""ind"">A mass or quantity of something that has gradually gathered or been acquired.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the accumulation of paperwork on her desk’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">amassing</strong><span class=""syn"">, building up, build-up, collection, gathering, assembling, assembly, stockpiling, hoarding, cumulation, accrual</span></div><div><strong class=""syn"">mass</strong><span class=""syn"">, build-up, pile, heap, stack, collection, gathering, stock, store, stockpile, reserve, hoard, bank, pool, fund, mine, reservoir, cumulation, accrual, aggregation, accretion, agglomerate, agglomeration</span></div></div></div></li></ul></p></div></li></ul></section>"
acknowledgment, acceptance, admission, granting, allowing, concession, confession, appreciation, recognition, realization, awareness, cognizance, knowledge <br> 1 Acceptance of the truth or existence of something. <br> 2 Recognition of the importance or quality of something. <br> 3 acknowledgements A statement printed at the beginning of a book expressing the author's or publisher's gratitude to others.
acutely,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adverb</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><u><span class=""grammatical_note"">usually as submodifier</span></u> <span class=""ind"">(with reference to something unpleasant or unwelcome) intensely.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the whole situation was acutely embarrassing’</em></div></div><div class=""exg""><div class=""ex""><em>‘Elizabeth felt Jane's distress acutely’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">extremely</strong><span class=""syn"">, exceedingly, very, markedly, severely, intensely, in the extreme, deeply, profoundly, keenly, sharply, painfully, desperately, awfully, terribly, tremendously, enormously, thoroughly, heartily</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">(in relation to illness) in a way that progresses rapidly but lasts for a short period.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘an acutely inflamed gall bladder’</em></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><u><span class=""grammatical_note"">usually as submodifier</span></u> <span class=""ind"">In a way that shows a perceptive understanding or insight.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘we are all acutely aware of the fragility of our world’</em></div></div></div></li></ul></section>"
adaptable,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Able to adjust to new conditions.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘rats are highly adaptable to change’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">flexible</strong><span class=""syn"">, adjustable, pliant, compliant, malleable, versatile, resilient, conformable, multiskilled</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Able to be modified for a new use or purpose.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘telephone links that are adaptable for modems’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">versatile</strong><span class=""syn"">, variable, convertible, alterable, modifiable, adjustable, changeable</span></div></div></div></li></ul></p></div></li></ul></section>"
