parental,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Relating to a person's parent or parents.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘parental responsibility’</em></div></div><div class=""exg""><div class=""ex""><em>‘parental leave’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Relating to an animal or plant from which new ones are derived.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘parental roots in adult plants’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""ind"">Denoting an organization or company which owns or controls a number of subsidiaries.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the decision to sever ties with the parental organization’</em></div></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><span class=""sense-registers"">informal </span><span class=""sense-regions spanish_label"">US </span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""form-groups""><strong>the parentals</strong></span><span class=""ind"">A person's parents.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘I may revisit this diner if the parentals are in town’</em></div></div></div></li></ul></section>"
parting,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">The action of leaving or being separated from someone.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘they exchanged a few words on parting’</em></div></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">count noun</span></u> <em>‘an emotional parting from her two young children’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">farewell</strong><span class=""syn"">, leave-taking, goodbye, adieu, departure, leaving, going, going away</span></div><div><strong class=""syn"">separation</strong><span class=""syn"">, break-up, splitting up, split, split-up, breaking up, divorce, rift, breach, parting of the ways, estrangement, rupture</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">The action of dividing something into parts.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the parting of the Red Sea’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">division</strong><span class=""syn"">, dividing, separation, separating, splitting, breaking apart, breaking up, severance, disjoining, detachment, partition, partitioning</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">3</span><span class=""sense-regions"">British </span><u><span class=""grammatical_note"">count noun</span></u> <span class=""ind"">A line of scalp revealed in a person's hair by combing the hair away in opposite directions on either side.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘his hair was dark, with a side parting’</em></div></div><div class=""crossReference"">North American term <a>part</a> (sense 6 of the noun)</div></div></li></ul></section>"
passerby,
pastoral,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">(of land) used for the keeping or grazing of sheep or cattle.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘scattered pastoral farms’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Associated with country life.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the view was pastoral, with rolling fields and grazing sheep’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">rural</strong><span class=""syn"">, country, countryside, countrified, outdoor, rustic, agricultural, agrarian, provincial, grassy, green, verdant</span></div></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""ind"">(of a work of art) portraying or evoking country life, typically in a romanticized or idealized form.</span><div class=""trg""></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">perfect</strong><span class=""syn"">, ideal, idealized, wonderful, blissful, halcyon, happy</span></div></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">(in the Christian Church) concerning or appropriate to the giving of spiritual guidance.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘pastoral and doctrinal issues’</em></div></div><div class=""exg""><div class=""ex""><em>‘clergy doing pastoral work’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">priestly</strong><span class=""syn"">, clerical, ecclesiastical, ministerial</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""ind"">Relating to or denoting a teacher's responsibility for the general well-being of pupils or students.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the pastoral care of boarders’</em></div></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A work of literature portraying an idealized version of country life.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the story, though a pastoral, has an actual connection with the life of agricultural labour’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">pastoral</strong><span class=""syn"">, eclogue, georgic, rural poem</span></div></div></div></div></li></ul></section>"
pavilion,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""sense-regions"">British </span><span class=""ind"">A building at a cricket ground or other sports ground, used for changing and taking refreshments.</span></p><span class=""indicators""></span></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">A summer house or other decorative building used as a shelter in a park or large garden.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">summer house</strong><span class=""syn"">, pavilion, belvedere</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">2.1</span><span class=""ind"">Used in the names of buildings used for theatrical or other entertainments.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the resort's Spa Pavilion’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">2.2</span><span class=""ind"">A detached or semi-detached block at a hospital or other building complex.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the form of alternating pavilions also allows the site to be developed in depth’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">2.3</span><span class=""ind"">A large tent with a peak and crenellated decorations, used at a show or fair.</span><div class=""trg""></div></li><li class=""subSense""><span class=""subsenseIteration"">2.4</span><span class=""ind"">A temporary building, stand, or other structure in which items are displayed at a trade exhibition.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘they designed the British pavilion at Shanghai World Expo 2010’</em></div></div></li></ul></p></div></li></ul></section>"
pending,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Awaiting decision or settlement.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘nine cases were still pending’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">unresolved</strong><span class=""syn"">, undecided, unsettled, unconcluded, uncertain, awaiting decision, awaiting action, undetermined, open, still open, hanging fire, in the air, up in the air, in limbo, in the balance, on ice, in reserve, in abeyance, ongoing, awaiting attention, outstanding, to be done, undone, not done, unattended to, unfinished, incomplete, left, remaining</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">About to happen; imminent.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the pending lay-off of fifty staff’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">imminent</strong><span class=""syn"">, impending, about to be, about to happen, forthcoming, upcoming, on the way, coming, approaching, looming, gathering, prospective, near, nearing, close, close at hand, in the offing, in the wind, to come, -to-be, anticipated, expected</span></div></div></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">preposition</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Until (something) happens.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘they were released on bail pending an appeal’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">awaiting</strong><span class=""syn"">, waiting for, until, till, before, until there are, until there is</span></div></div></div></div></li></ul></section>"
perilous,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Full of danger or risk.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘a perilous journey south’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">dangerous</strong><span class=""syn"">, fraught with danger, hazardous, risky, unsafe, treacherous</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Exposed to imminent risk of disaster or ruin.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the economy is in a perilous state’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">dangerous</strong><span class=""syn"">, risky, perilous, hazardous, precarious, life-threatening, high-risk, treacherous, insecure, unsound, vulnerable, exposed, defenceless</span></div></div></div></li></ul></p></div></li></ul></section>"
periodical,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A magazine or newspaper published at regular intervals.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">journal</strong><span class=""syn"">, publication, magazine, newspaper, paper, review, digest, gazette, newsletter, organ, serial, annual, quarterly, monthly, bimonthly, fortnightly, weekly, biweekly</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><u><span class=""grammatical_note"">attributive</span></u> <ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Occurring or appearing at intervals; occasional.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘she took periodical gulps of her tea’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">regular</strong><span class=""syn"">, periodic, at fixed intervals, recurrent, recurring, repeated, cyclical, cyclic, seasonal</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">(of a magazine or newspaper) published at regular intervals.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘Britain's best periodical art magazine’</em></div></div></li></ul></p></div></li></ul></section>"
permanence,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">The state or quality of lasting or remaining unchanged indefinitely.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the clarity and permanence of the dyes’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">stability</strong><span class=""syn"">, durability, persistence, permanency, fixity, fixedness, changelessness, immutability, endurance, dependability, constancy, continuance, continuity, immortality, indestructibility, perpetuity, endlessness</span></div></div></div></div></li></ul></section>"
persecute,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Subject (someone) to hostility and ill-treatment, especially because of their race or political or religious beliefs.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘his followers were persecuted by the authorities’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">oppress</strong><span class=""syn"">, abuse, victimize, ill-treat, mistreat, maltreat, discriminate against, punish, inflict pain on, inflict suffering on, tyrannize, afflict, torment, torture, martyr</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Harass or annoy (someone) persistently.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘Hilda was persecuted by some of the other girls’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">harass</strong><span class=""syn"">, hound, plague, badger, harry, bait, intimidate, pick on, trouble, molest, tease, pester, bother, worry, annoy, bedevil, bully, victimize, terrorize</span></div></div></div></li></ul></p></div></li></ul></section>"
persecution,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Hostility and ill-treatment, especially because of race or political or religious beliefs; oppression.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘her family fled religious persecution’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">oppression</strong><span class=""syn"">, victimization, maltreatment, ill treatment, mistreatment, abuse, ill usage, discrimination, tyranny, tyrannization, punishment, torment, torture</span></div><div><strong class=""syn"">harassment</strong><span class=""syn"">, hounding, harrying, badgering, teasing, bullying, molestation</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Persistent annoyance or harassment.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘his persecution at the hands of other students’</em></div></div></li></ul></p></div></li></ul></section>"
